Date,Description,Amount
2024-03-01,Whole Foods Market,-125.43
2024-03-02,Starbucks Coffee,-5.62
2024-03-03,Salary Deposit,4500.00
2024-03-04,Electric Bill,-128.76
2024-03-05,Uber Ride,-22.50
2024-03-06,CVS Pharmacy,-45.99
2024-03-07,Rent Payment,-1500.00
2024-03-08,ExxonMobil Gas,-55.32
2024-03-09,Target Store,-65.43
2024-03-10,Amazon Purchase,-89.99
2024-03-11,Interest Income,2.15
2024-03-12,Salary Deposit,4500.00
2024-03-13,Grocery Store,-112.50
2024-03-14,Chipotle Restaurant,-15.78
2024-03-15,GEICO Insurance,-89.00
2024-03-16,Lyft Ride,-18.45
2024-03-17,Walgreens Pharmacy,-32.15
2024-03-18,Tenant Utility Reimbursement,150.00
2024-03-19,Netflix Subscription,-15.99
2024-03-20,Bank Transfer,-500.00
